Capture Date,Course ID,Trap,Band ID,Recapture,Sex,Age,Immature,Weight,Condition,Leg Band,Wing Band,Tag Status at Capture,Manufacturer_at_Capture,SerialNum_at_Capture,Frequency_at_Capture,Tag Status at Release,Manufacturer_at_Release,SerialNum_at_Release,Frequency_at_Release,Comments,ObjectId,WingChord,Tarsus,RadioSize,bird.id
4/7/2022 8:00,CC,273,220582,no,Male,Juvenile,,180,Good,Left,none,none,,,,VHF-Pendant,AWE,hsl206033,167.535,,71,,,,167.535_220582
4/9/2022 8:00,CC,274,220591,no,F,Juvenile,,198,Good,Left,none,none,,,,VHF-Pendant,AWE,TTA20310,163.588,,72,,,,163.588_220591
4/9/2022 8:00,CC,274,220590,no,Male,Juvenile,,186,Good,Left,none,none,,,,VHF-Pendant,AWE,TTA20255,162.895,,73,,,,162.895_220590
4/9/2022 8:00,CC,274,220589,no,F,Adult,,152,Good,Left,none,none,,,,VHF-Pendant,AWE,HSL235196,166.797,,74,,,,166.797_220589
3/22/2022 8:00,BB,TT32,220262,No,Male,Adult,,0,Good,Right,none,none,,,,None,,,,,75,,,,_220262
3/24/2022 8:00,AC,TT36,220271,No,Male,Adult,,0,Good,Right,none,none,,,,None,,,,,76,,,,_220271
4/9/2022 8:00,CC,274,220588,no,F,Juvenile,,165,Good,Left,none,none,,,,VHF-Pendant,AWE,HSL223904,164.384,,77,,,,164.384_220588
3/13/2022 9:00,BJ,111,220213,No,F,Adult,,157,Good,Right,None,None,,,,VHF-Pendant,AWE,TTA20276,163.174,,78,,,,163.174_220213
3/13/2022 9:00,BJ,111,220214,No,F,Juvenile,,166,Good,Right,None,None,,,,VHF-Pendant,AWE,TTA20244,162.778,,79,,,,162.778_220214
3/25/2022 8:00,DB,133,220389,No,F,Adult,,182,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa21180,164.318,,80,,,,164.318_220389
3/13/2022 9:00,BJ,111,220215,No,Male,Adult,,168,Good,Right,None,None,,,,VHF-Pendant,AWE,HSL216916,164.31,,81,,,,164.310_220215
3/25/2022 8:00,DB,133,220390,No,Male,Adult,,175,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa21174,164.246,,82,,,,164.246_220390
3/13/2022 9:00,BJ,111,220216,No,Male,Adult,,166,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21-28,162.393,,83,,,,162.393_220216
3/25/2022 8:00,DB,133,220391,No,Male,Juvenile,,180,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa21176,164.27,,84,,,,164.270_220391
3/13/2022 9:00,BJ,111,220217,No,F,Adult,,199,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21-10,162.103,,85,,,,162.103_220217
3/25/2022 8:00,BP,151,220283,No,F,Juvenile,,0,Bad - Scalp Severely Torn,Right,none,none,,,,None,,,,,86,,,,_220283
3/18/2022 8:00,CC,198,220302,No,F,Adult,,176,Good,Right,None,None,,,,None,,,,,87,,,,_220302
